id,country,questions,answers,QA,users,region,top
AFG,Afghanistan,812,957,8,156,Asia,0
ALB,Albania,829,2371,48,233,Europe,0
DZA,Algeria,1777,2790,22,453,Africa,0
AND,Andorra,14,53,58,13,Europe,0
ATA,Antarctica,572,730,12,35,America,0
ARG,Argentina,14977,47364,52,3748,America,1
ARM,Armenia,3698,8467,39,466,Europe,0
AUS,Australia,94158,348151,57,15409,Oceania,15
AUT,Austria,19745,73433,58,3588,Europe,3
AZE,Azerbaijan,2104,2990,17,278,Europe,0
BHS,Bahamas,103,105,1,23,America,0
BHR,Bahrain,621,1262,34,135,Asia,0
BGD,Bangladesh,13514,38713,48,4210,Asia,0
BRB,Barbados,63,58,-4,28,America,0
BLR,Belarus,8517,32486,58,2037,Europe,1
BEL,Belgium,33030,95317,49,5571,Europe,7
BEN,Benin,80,34,-40,16,Africa,0
BTN,Bhutan,67,82,10,21,Asia,0
BOL,Bolivia,1195,2294,31,256,America,0
BIH,Bosnia and Herzegovina,2589,5815,38,365,Europe,0
BWA,Botswana,129,52,-43,50,Africa,0
BRA,Brazil,52278,112061,36,15594,America,10
BGR,Bulgaria,10815,64133,71,2170,Europe,1
KHM,Cambodia,2197,4063,30,347,Asia,0
CMR,Cameroon,312,312,0,103,Africa,0
CAN,Canada,139324,421914,50,22184,America,14
USA,Caribbean,41,106,44,14,America,0
RCH,Chile,5021,14523,49,1650,America,1
CHN,China,52582,95656,29,20924,Asia,9
COL,Colombia,6151,13858,39,1846,America,1
CRI,Costa Rica,1997,4754,41,654,America,1
HRV,Croatia,7344,25586,55,1383,Europe,0
CUB,Cuba,1195,3302,47,234,America,0
CYP,Cyprus,1644,5665,55,267,Europe,0
CZE,Czech Republic ,20000,68877,55,3721,Europe,3
DNK,Denmark,29357,84362,48,5024,Europe,2
DOM,Dominican Republic,1803,3438,31,431,America,0
ECU,Ecuador,1010,1908,31,405,America,0
EGY,Egypt,13152,19830,20,2864,Africa,2
SLV,El Salvador,1191,1571,14,175,America,0
EST,Estonia,3846,13062,55,754,Europe,0
ETH,Ethiopia,656,981,20,199,Africa,0
FRO,Faroe Islands,71,96,15,16,Europe,0
FJI,Fiji,196,405,35,46,Oceania,0
FIN,Finland,11403,53988,65,2689,Europe,3
FRA,France,77868,314814,60,16816,Europe,10
GEO,Georgia,5843,13859,41,881,Europe,0
DEU,Germany,148601,657636,63,26798,Europe,24
GHA,Ghana,802,1256,22,324,Africa,0
GRC,Greece,13365,45234,54,2744,Europe,1
GTM,Guatemala,688,4388,73,328,America,0
GUY,Guyana,68,20,-55,16,America,0
USA,Hawaii,652,1518,40,159,America,0
HND,Honduras,416,762,29,136,America,0
HUN,Hungary,10735,41403,59,2562,Europe,5
ISL,Iceland,1836,4113,38,428,Europe,0
IND,India,539061,1134101,36,107911,Asia,34
IDN,Indonesia,13119,19509,20,5223,Asia,2
IRN,Iran,27935,41766,20,5257,Asia,4
IRQ,Iraq,512,462,-5,225,Asia,0
ISR,Israel,46481,130207,47,3953,Asia,4
ITA,Italy,13041,35342,46,2475,Europe,3
JAM,Jamaica,1607,700,-39,165,America,0
JPN,Japan,12590,40806,53,3655,Asia,2
JOR,Jordan,3693,8626,40,829,Asia,0
KAZ,Kazakhstan,1514,2392,22,385,Asia,0
KEN,Kenya,3819,4048,3,1039,Africa,1
KWT,Kuwait,1034,4364,62,218,Asia,0
KGZ,Kyrgyzstan,872,1894,37,125,Asia,0
LVA,Latvia,5296,14313,46,887,Europe,2
LBN,Lebanon,4780,8617,29,608,Asia,0
