Year,Month,date,PostCount,javascript,android,php,c#,jquery,python,html,ios,mysql
2015,9,9/2015,639766,24459,16469,15805,12178,16469,14815,10960,10550,6878
2015,8,8/2015,636223,24652,16889,15984,14702,12257,12237,10999,10052,6601
2015,7,7/2015,682915,26601,17306,17231,15755,13028,13450,11862,10639,7349
2015,6,6/2015,652747,25041,16306,16076,15032,12781,12791,11418,9655,6935
2015,5,5/2015,637738,24329,16308,16053,14737,12465,12056,11282,9112,6892
2015,4,4/2015,651111,22976,16617,16532,14514,12166,12312,10876,9494,7081
2015,3,3/2015,664357,23029,16804,16742,14893,12625,12577,11196,9592,7328
2015,2,2/2015,586317,20789,14624,15032,13182,11292,11102,9933,8616,6534
2015,1,1/2015,576472,20597,15069,15162,13056,11160,10480,9901,8184,6533
2014,12,12/2014,537117,18803,14729,13776,12285,10347,9742,8915,7588,6199
2014,11,11/2014,584684,20251,14986,14952,13390,11555,10481,9808,8426,6703
2014,10,10/2014,569741,20193,13725,14730,13446,11548,10096,9741,8749,6526
2014,9,9/2014,512490,18379,12653,13778,12550,11047,8909,9080,7872,5962
2014,8,8/2014,506567,18770,13501,13615,12718,11394,9232,9382,7108,5744
2014,7,7/2014,550129,20403,14832,14715,13947,12233,10049,10102,7917,6947
2014,6,6/2014,503276,18621,12830,13431,12755,11457,9015,9195,7053,5969
2014,5,5/2014,545230,20113,13745,15252,14146,12506,9376,10370,7331,6821
2014,4,4/2014,599261,21742,15717,18207,15561,13777,10909,11348,8045,7891
2014,3,3/2014,640481,22985,17328,18877,16436,14568,11527,11978,8780,8199
2014,2,2/2014,579420,21420,14987,17015,15327,13762,9995,10960,7860,7236
2014,1,1/2014,585877,21366,15006,17290,15578,13976,9935,11394,7767,7354
