Num,TagName,Region
"2399",".net","Africa"
"936","ajax","Africa"
"4694","android","Africa"
"951","angularjs","Africa"
"3577","asp.net","Africa"
"1655","asp.net-mvc","Africa"
"1020","c","Africa"
"9125","c#","Africa"
"1580","c++","Africa"
"1945","css","Africa"
"812","database","Africa"
"873","django","Africa"
"2855","html","Africa"
"1506","ios","Africa"
"6009","java","Africa"
"5959","javascript","Africa"
"4498","jquery","Africa"
"924","json","Africa"
"2809","mysql","Africa"
"840","objective-c","Africa"
"6748","php","Africa"
"2145","python","Africa"
"1316","ruby-on-rails","Africa"
"2333","sql","Africa"
"1411","sql-server","Africa"
"929","wpf","Africa"
"830","xml","Africa"
"4697",".htaccess","America"
"41309",".net","America"
"1731",".net-3.5","America"
"1987",".net-4.0","America"
"971","3d","America"
"973","access-vba","America"
"1360","actionscript","America"
"5669","actionscript-3","America"
"1394","active-directory","America"
"4431","activerecord","America"
"1288","ado.net","America"
"1069","air","America"
"16063","ajax","America"
"7266","algorithm","America"
"1613","amazon-ec2","America"
"1929","amazon-s3","America"
"3045","amazon-web-services","America"
"57157","android","America"
"1577","android-activity","America"
"1819","android-fragments","America"
"1475","android-intent","America"
"2832","android-layout","America"
"1038","android-listview","America"
"1597","android-studio","America"
"17119","angularjs","America"
"1676","angularjs-directive","America"
"2679","animation","America"
"869","annotations","America"
"1913","ant","America"
"7001","apache","America"
"5157","api","America"
"1794","architecture","America"
"1185","arraylist","America"
"15964","arrays","America"
"38624","asp.net","America"
"19359","asp.net-mvc","America"
"2092","asp.net-mvc-2","America"
"6801","asp.net-mvc-3","America"
"4371","asp.net-mvc-4","America"
"1066","asp.net-mvc-5","America"
"2461","asp.net-web-api","America"
"1632","asp-classic","America"
"2011","assembly","America"
"2901","asynchronous","America"
"1048","attributes","America"
"2430","audio","America"
"3773","authentication","America"
"1222","autocomplete","America"
"832","autolayout","America"
"980","automation","America"
"1090","awk","America"
"3429","azure","America"
"3296","backbone.js","America"
"880","background","America"
"7519","bash","America"
"2718","batch-file","America"
"830","binary","America"
"1714","binding","America"
"912","bitmap","America"
"1914","boost","America"
"2345","browser","America"
"1673","build","America"
"1837","button","America"
"19329","c","America"
"120258","c#","America"
"2542","c#-4.0","America"
"43365","c++","America"
"3269","c++11","America"
"3285","caching","America"
"3112","cakephp","America"
"840","calendar","America"
"1221","callback","America"
"2048","canvas","America"
"1577","casting","America"
"1329","character-encoding","America"
"1283","charts","America"
"1635","checkbox","America"
"4485","class","America"
"2513","clojure","America"
"813","closures","America"
"900","cmd","America"
"6356","cocoa","America"
"5811","cocoa-touch","America"
"1052","cocos2d-iphone","America"
"3876","codeigniter","America"
"1435","coding-style","America"
"1839","coffeescript","America"
"2625","coldfusion","America"
"1850","collections","America"
"1261","colors","America"
"1499","com","America"
"1294","combobox","America"
"2242","command-line","America"
"1095","compilation","America"
"1557","compiler-construction","America"
"1169","compiler-errors","America"
"1605","concurrency","America"
"1938","configuration","America"
"1014","console","America"
"1382","constructor","America"
"804","content-management-system","America"
"1008","continuous-integration","America"
"1256","controller","America"
"2383","cookies","America"
"3349","cordova","America"
"3236","core-data","America"
"871","count","America"
"829","crash","America"
"921","cron","America"
"1343","cross-browser","America"
"871","cryptography","America"
"1128","crystal-reports","America"
"42006","css","America"
"5500","css3","America"
"1098","css-selectors","America"
"3048","csv","America"
"810","cucumber","America"
"867","cuda","America"
"2260","curl","America"
"2185","d3.js","America"
"859","dart","America"
"1103","data","America"
"11667","database","America"
"2926","database-design","America"
"2848","data-binding","America"
"1281","datagrid","America"
"1441","datagridview","America"
"2153","data-structures","America"
"1126","datatable","America"
"3544","date","America"
"823","datepicker","America"
"3857","datetime","America"
"5068","debugging","America"
"1255","delegates","America"
"4871","delphi","America"
"843","dependencies","America"
"1929","dependency-injection","America"
"2331","deployment","America"
"2861","design","America"
"3469","design-patterns","America"
"1994","devise","America"
"929","dialog","America"
"2308","dictionary","America"
"806","directory","America"
"16417","django","America"
"836","django-admin","America"
"1070","django-forms","America"
"2042","django-models","America"
"1049","django-templates","America"
"1917","dll","America"
"1212","dns","America"
"922","docker","America"
"1000","doctrine2","America"
"1218","documentation","America"
"1115","dojo","America"
"3446","dom","America"
"1028","download","America"
"1049","drag-and-drop","America"
"1608","drop-down-menu","America"
"2425","drupal","America"
"862","drupal-7","America"
